start,end,symbol,factor
2013-10-18,2014-02-25,I1405,0.1271960604391291
2014-02-26,2014-07-21,I1409,0.12766484198865904
2014-07-22,2014-10-21,I1501,0.12955337515417176
2014-10-22,2015-03-05,I1505,0.13643441522646294
2015-03-06,2015-07-18,I1509,0.13763120834248455
2015-07-20,2015-11-19,I1601,0.14445428524331594
2015-11-20,2016-03-17,I1605,0.1560012020082792
2016-03-18,2016-08-09,I1609,0.17091452446441657
2016-08-10,2016-11-23,I1701,0.19047474226423314
2016-11-24,2017-03-20,I1705,0.21063260736484257
2017-03-21,2017-07-29,I1709,0.2352670331869474
2017-07-31,2017-11-21,I1801,0.2439972085383184
2017-11-22,2018-04-02,I1805,0.23523833438566086
2018-04-03,2018-08-03,I1809,0.22833460065912514
2018-08-04,2018-11-28,I1901,0.22762986423733772
2018-11-29,2019-04-03,I1905,0.23614407258064848
2019-04-04,2019-07-29,I1909,0.2590269771516089
2019-07-30,2019-12-04,I2001,0.30544820090496183
2019-12-05,2020-03-27,I2005,0.32640308151587527
2020-03-30,2020-08-06,I2009,0.3658156985016357
2020-08-07,2020-12-03,I2101,0.4035058007715012
2020-12-04,2021-03-29,I2105,0.43508047793198695
2021-03-30,2021-08-03,I2109,0.5008666086290327
2021-08-04,2021-11-27,I2201,0.5625483844274284
2021-11-29,2022-03-24,I2205,0.5554693359656738
2022-03-25,2022-08-03,I2209,0.5592294360860569
2022-08-04,2022-12-01,I2301,0.6117301133264029
2022-12-02,2023-04-03,I2305,0.6222841829657436
2023-04-04,2023-08-02,I2309,0.6858218625383597
2023-08-03,2023-12-05,I2401,0.7644774886242481
2023-12-06,2024-03-26,I2405,0.814206454256917
2024-03-27,2024-07-25,I2409,0.860702345220323
2024-07-26,2024-12-07,I2501,0.8796884263648889
2024-12-09,2025-03-31,I2505,0.8977564813351562
2025-04-01,2025-08-06,I2509,0.948040655836169
2025-08-07,2025-12-02,I2601,0.9687695190505934
2025-12-03,2026-02-24,I2605,1.0
